Character,"Data Type",Name,Description,Published
A.I.M,comics,"Iron Man Epic Collection: Doom (Trade Paperback)","Collects Iron Man (1968) #245-257, Annual #10-11 and material from Captain America Annual #9. Iron Man and Doctor Doom face off in the future! The armored foes renew their rivalry in a future version of Camelot, where they must join a reborn Arthur and Merlin in battle against some very familiar faces! Then, Loki cultivates chaos as his Acts of Vengeance pit shell-head against the Wrecker and Chemistro! Inside the armor, Tony Stark continues to come to terms with his paralysis, and the Maggia makes its move — but what is its involvement with Hydra and A.I.M.? Plus: Iron Man and Crimson Dynamo see the world through each other’s eyes! Tony defends the surface when Atlantis attacks! Iron Man and Captain America join forces to deal with the return of Terminus! And don’t forget the Dreadnoughts, Madame Masque, the Hulk and…Santa Claus?!",
A.I.M,comics,"Captain America by Mark Waid, Ron Garney & Andy Kubert (Hardcover)","One of the most celebrated runs in Captain America history - collected in full! The world believes Cap dead, but his life is saved by his greatest love - and his deadliest enemy! Will America celebrate his return, or will he become a man without a country? After facing Onslaught, Cap will find himself reborn once more - only to lose his shield! But there's no slowing down for the Sentinel of Liberty as Cap takes on Hydra, Skrulls, A.I.M. and more; unites with Iron Man against M.O.D.O.K.; and battles Korvac and the Red Skull for the fate of the future! Plus: Tales from World War II and more - from all eras of the Sentinel of Liberty's star-studded history! Collecting CAPTAIN AMERICA (1968) #444-454, CAPTAIN AMERICA (1998) #1-23, IRON MAN/CAPTAIN AMERICA ANNUAL '98, CAPTAIN AMERICA: SENTINEL OF LIBERTY #1-12 and ROUGH CUT, and material from CAPTAIN AMERICA: THE LEGEND and CAPTAIN AMERICA: RED, WHITE & BLUE.",
A.I.M,comics,"Marvel Universe Avengers: Ultron Revolution (2017) #2","The Scientist Supreme unveils the latest deadly creation from A.I.M., Advanced Idea Mechanics!",(2017)
A.I.M,comics,"Avengers by Brian Michael Bendis: The Complete Collection Vol. 2 (Trade Paperback)","Brian Michael Bendis' Avengers odyssey continues! When Spider-Woman disappears, the team must face the Intelligencia - just before Fear Itself hammers our heroes! The Red Skull's daughter has unleashed an evil as old as Midgard itself. The Serpent has risen to reclaim Earth, recruiting powerful superhumans as his advance guard, the Worthy. The result is all-out action in classic Avengers style! And when the dust settles, Tony Stark's fortune is gone, Captain America's leadership is questioned and Thor is no more! Worse still, Norman Osborn is back! Freed from prison by his H.A.M.M.E.R. loyalists, Osborn unites with A.I.M., Superia and Madame Hydra, seeking revenge in the worst way possible. Plus: Bendis literally writes the book on the glorious history of Earth's Mightiest Heroes! COLLECTING: AVENGERS (2010) #12.1, #13-24; AVENGERS ASSEMBLE: AN ORAL HISTORY OF EARTH'S MIGHTIEST HEROES.",
A.I.M,comics,"Avengers and Power Pack (2017) #6","Will Power Pack's dreams of becoming the hottest new heroes on the scene be squashed by one of the greatest Avengers villains of all time?",(2017)
A.I.M,comics,"Avengers and Power Pack (2017) #5","The Powers are on their way to the Big Apple...and our favorite sibling super heroes are ready to join the big leagues!",(2017)
A.I.M,comics,"Avengers and Power Pack (2017) #4","Is Jack Power really looking to save the day or is he just hoping for a hefty reward?",(2017)
A.I.M,comics,"Avengers and Power Pack (2017) #3","When one of billionaire Tony Stark's greatest inventions is stolen, it's up to the invincible Iron Man to track it down...unless, of course, Power Pack beats him to the punch!",(2017)
A.I.M,comics,"Secret Avengers (2013) #16","HOW TO MA.I.M. A MOCKINGBIRD CONCLUSION!




<ul><li>Maria Hill strikes a deal with...A.I.M.???</li><li>Some are dead. Some are alive. Some are in between. And some quit.</li><li>The Secret Avengers will never be the same.</li></ul>",(2013)
A.I.M,comics,"Secret Avengers (2013) #15","HOW TO MA.I.M. A MOCKINGBIRD, Part Four





<ul><li>Secret Avengers X the A.I.M. island = Blood, sweat, punches and broken bones.</li><li>Events that began in #1 move to their conclusion.</li><li>A Secret Avenger dies.</li></ul>",(2013)
